BOROUGH,TAX BLOCK,TAX LOT,BBL,BILLBBL,CD,HOUSE NUMBER,STREET NAME,ADDRESS,PARCEL NAME,AGENCY,USE CODE,USE TYPE,OWNERSHIP,CATEGORY,EXPANDED CATEGORY CODE,EXPANDED CATEGORY DESCRIPTION,LEASED PROPERTIES,FINAL COMMITMENT,AGREEMENT,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,GEOM
3,7033,84,3070330084,3070330084,313,,OCEAN VIEW AVENUE,OCEAN VIEW AVENUE,,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,,,981014,150500,40.579763,-74.011649,POINT (-74.011649 40.579763)
2,3448,33,2034480033,2034480033,209,2008,GILDERSLEEVE AVENUE,2008 GILDERSLEEVE AVENUE,WATERFRONT GARDEN,PARKS,440,PARK,C,1,3,CULTURAL & RECREATIONAL USE,,,,1025622,234328,40.809755,-73.850548,POINT (-73.850548 40.809755)
5,3303,18,5033030018,5033030018,502,50,JEFFERSON STREET,50 JEFFERSON STREET,PS 11,EDUC,211,ELEMENTARY SCHOOL,C,1,2,EDUCATIONAL USE,,,,956962,154567,40.590885,-74.098252,POINT (-74.098252 40.590885)
4,14255,2780,4142552780,4142552780,410,,165 AVENUE,165 AVENUE,,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,,,1031949,176287,40.650416,-73.828104,POINT (-73.828104 40.650416)
4,1835,58,4018350058,4018350058,404,,51 AVENUE,51 AVENUE,,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,,,1019026,208820,40.739771,-73.874507,POINT (-73.874507 40.739771)
2,5529,651,2055290651,2055290651,210,,WHITEHEAD PLACE,WHITEHEAD PLACE,,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,,,1038923,234756,40.810858,-73.802496,POINT (-73.802496 40.810858)
5,1124,26,5011240026,5011240026,501,,EATON PLACE,EATON PLACE,,DSBS,852,RAIL LINE,C,1,7,"MAINTENANCE, STORAGE, & INFRASTRUCTURE USE",,,,944239,170921,40.635725,-74.144159,POINT (-74.144159 40.635725)
5,1224,100,5012240100,5012240100,501,,BUSH AVENUE,BUSH AVENUE,,EDC,1500,NO USE,C,3,8,PROPERTY WITH NO USE,,D,,940070,170278,40.63394,-74.159175,POINT (-74.159175 40.63394)
3,1457,32,3014570032,3014570032,316,430,HOWARD AVENUE,430 HOWARD AVENUE,PS 12,EDUC,211,ELEMENTARY SCHOOL,C,1,2,EDUCATIONAL USE,,,,1006419,184520,40.673114,-73.920081,POINT (-73.920081 40.673114)
4,6021,33,4060210033,4060210033,411,,32 AVENUE,32 AVENUE,,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,,,1042215,219705,40.769526,-73.790734,POINT (-73.790734 40.769526)
2,5529,558,2055290558,2055290558,210,,EGER PLACE,EGER PLACE,,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,,,1038624,235137,40.811905,-73.803573,POINT (-73.803573 40.811905)
4,9677,7,4096770007,4096770007,412,9015-27,SUTPHIN BOULEVARD,9015-27 SUTPHIN BOULEVARD,,EDUC,230,OFFICE LEASED BY EDUC,P,1,2,EDUCATIONAL USE,L,,,1037535,195260,40.70246,-73.807823,POINT (-73.807823 40.70246)
5,1121,91,5011210091,5011210091,501,,JOHN STREET,JOHN STREET,,EDC,1500,NO USE,C,3,8,PROPERTY WITH NO USE,,D,,944686,171302,40.636773,-74.142551,POINT (-74.142551 40.636773)
4,3812,20,4038120020,4038120020,405,74-01,78 AVENUE,74-01 78 AVENUE,IS  119 AND PLAYGROUND,EDUC,212,INTERMEDIATE SCHOOL,C,1,2,EDUCATIONAL USE,,,,1018886,196213,40.705169,-73.875077,POINT (-73.875077 40.705169)
2,2996,10,2029960010,2029960010,203,1550,VYSE AVENUE,1550 VYSE AVENUE,PS 50,EDUC,211,ELEMENTARY SCHOOL,C,1,2,EDUCATIONAL USE,,,,1015521,243214,40.834187,-73.886995,POINT (-73.886995 40.834187)
4,11370,39,4113700039,4113700039,410,,DESARC ROAD,DESARC ROAD,,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,,,1026592,185087,40.674597,-73.847354,POINT (-73.847354 40.674597)
2,5738,374,2057380374,2057380374,208,,,,EWEN PARK,PARKS,440,PARK,C,1,3,CULTURAL & RECREATIONAL USE,,,,1009131,260696,40.88219,-73.910022,POINT (-73.910022 40.88219)
1,94,2,1000940002,1000940002,101,,FULTON STREET,FULTON STREET,DELURY SQUARE PARK,PARKS,440,PARK,C,1,3,CULTURAL & RECREATIONAL USE,,,,982843,197617,40.70909,-74.005075,POINT (-74.005075 40.70909)
5,6354,51,5063540051,5063540051,503,,BOARD WALK,BOARD WALK,,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,,,938165,130883,40.525799,-74.16577,POINT (-74.16577 40.525799)
4,1875,100,4018750100,4018750100,404,,60 AVENUE,60 AVENUE,PARK STRIP,DOT,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,,,1021145,206791,40.734194,-73.866872,POINT (-73.866872 40.734194)
5,1261,82,5012610082,5012610082,501,,SOUTH AVENUE,SOUTH AVENUE,,DSBS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,,,938197,170078,40.633382,-74.165922,POINT (-74.165922 40.633382)
1,1735,27,1017350027,1017350027,110,11,WEST  137 STREET,11 WEST  137 STREET,,HRA,1300,MISCELLANEOUS USE,C,1,,,,,,1001538,236084,40.814655,-73.937544,POINT (-73.937544 40.814655)
4,754,100,4007540100,4007540100,480,,19 AVENUE,19 AVENUE,LAGUARDIA AIRPORT,EDC,1500,NO USE,C,3,8,PROPERTY WITH NO USE,,D,,1014622,221960,40.775853,-73.89034,POINT (-73.89034 40.775853)
2,5603,200,2056030200,2056030200,210,,CALHOUN AVENUE,CALHOUN AVENUE,L.U.W. CALHOUN AVENUE,DSBS,1530,NO USE-WATERFRONT (ANY AGENCY),C,3,8,PROPERTY WITH NO USE,,,,1035454,235122,40.811883,-73.815025,POINT (-73.815025 40.811883)
3,132,23,3001320023,3001320023,302,,,,11 METROTECH CENTER,HPD,1500,NO USE,C,3,8,PROPERTY WITH NO USE,,D,,988549,192566,40.695225,-73.984497,POINT (-73.984497 40.695225)
2,5486,85,2054860085,2054860085,210,,RANDALL AVENUE,RANDALL AVENUE,,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,,,1035791,241749,40.830071,-73.813756,POINT (-73.813756 40.830071)
2,5519,300,2055190300,2055190300,210,,SHORE DRIVE,SHORE DRIVE,,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,,,1039240,238156,40.820188,-73.801323,POINT (-73.801323 40.820188)
1,1363,61,1013630061,1013630061,106,,F D R DRIVE,F D R DRIVE,PETER DETMOLD PARK,PARKS,440,PARK,C,1,3,CULTURAL & RECREATIONAL USE,,,,994397,213895,40.753763,-73.963376,POINT (-73.963376 40.753763)
2,2745,29,2027450029,2027450029,203,1177,HOE AVENUE,1177 HOE AVENUE,HOE AVENUE,DHS,140,FIELD OFFICE,C,1,1,OFFICE USE,,,,1014386,241071,40.828309,-73.891106,POINT (-73.891106 40.828309)
4,8112,185,4081120185,4081120185,411,,244 STREET,244 STREET,UDALL'S PARK RESERVE,PARKS,471,NATURAL AREA/WETLAND/WILDLIFE REFUGE,C,1,3,CULTURAL & RECREATIONAL USE,,,,1055670,218923,40.767281,-73.742167,POINT (-73.742167 40.767281)
1,2140,11,1021400011,1021400011,112,,RIVERSIDE DRIVE,RIVERSIDE DRIVE,FORT WASHINGTON PARK,PARKS,440,PARK,C,1,3,CULTURAL & RECREATIONAL USE,,,,999374,246781,40.844019,-73.945338,POINT (-73.945338 40.844019)
5,7105,11,5071050011,5071050011,503,,WOODROW ROAD,WOODROW ROAD,,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,,,922277,136539,40.541227,-74.222972,POINT (-74.222972 40.541227)
5,488,250,5004880250,5004880250,501,,,,HOMEPORT,MTA,852,RAIL LINE,C,1,7,"MAINTENANCE, STORAGE, & INFRASTRUCTURE USE",,,,963434,169283,40.631295,-74.074995,POINT (-74.074995 40.631295)
5,6373,149,5063730149,5063730149,503,,SANDBORN STREET,SANDBORN STREET,BLUE HERON PARK (R119),PARKS,440,PARK,C,1,3,CULTURAL & RECREATIONAL USE,,,,937165,133881,40.534023,-74.169388,POINT (-74.169388 40.534023)
4,15700,4,4157000004,4157000004,414,,THE STRAND,THE STRAND,,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,,,1048090,161386,40.609414,-73.770076,POINT (-73.770076 40.609414)
3,7060,1001,3070601001,3070607501,313,,,,,HRA,141,FIELD OFFICE-PUBLIC,P,1,1,OFFICE USE,L,,,988072,149032,40.575734,-73.986242,POINT (-73.986242 40.575734)
4,15698,8,4156980008,4156980008,414,,NORTON DRIVE,NORTON DRIVE,,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,,,1048032,160795,40.607792,-73.770291,POINT (-73.770291 40.607792)
2,3250,220,2032500220,2032500220,208,,,,OLD FORT #4 PARK,PARKS,440,PARK,C,1,3,CULTURAL & RECREATIONAL USE,,,,1012190,257609,40.873708,-73.898972,POINT (-73.898972 40.873708)
2,3448,128,2034480128,2034480128,209,,HUSSON AVENUE,HUSSON AVENUE,,PARKS,440,PARK,C,1,3,CULTURAL & RECREATIONAL USE,,,,1025657,234233,40.809495,-73.850422,POINT (-73.850422 40.809495)
3,5982,29,3059820029,3059820029,310,,79 STREET,79 STREET,,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,,,978588,166648,40.624085,-74.020397,POINT (-74.020397 40.624085)
4,14163,14,4141630014,4141630014,410,,158 AVENUE,158 AVENUE,,DCAS,1900,IN USE-TENANTED,C,1,6,LEASED OUT TO PRIVATE TENANT,,,S,1029012,180141,40.661009,-73.838662,POINT (-73.838662 40.661009)
4,4078,48,4040780048,4040780048,407,,117 STREET,117 STREET,,DSBS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,D,,1025722,224264,40.782132,-73.850249,POINT (-73.850249 40.782132)
2,5132,8,2051320008,2051320008,210,,,,,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,,,1032056,252756,40.860302,-73.827174,POINT (-73.827174 40.860302)
2,5516,300,2055160300,2055160300,210,,SHORE DRIVE,SHORE DRIVE,,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,,,1037947,240387,40.826319,-73.805977,POINT (-73.805977 40.826319)
3,2332,31,3023320031,3023320031,301,,,,,PARKS,440,PARK,C,1,3,CULTURAL & RECREATIONAL USE,,,,994234,201886,40.720802,-73.963982,POINT (-73.963982 40.720802)
4,897,1,4008970001,4008970001,111,,SHORE BOULEVARD,SHORE BOULEVARD,ASTORIA PARK,PARKS,440,PARK,C,1,3,CULTURAL & RECREATIONAL USE,,,,1006461,224520,40.782904,-73.919797,POINT (-73.919797 40.782904)
1,73,2,1000730002,1000730002,101,,PIER   15,PIER   15,PIER 15,EDC,1900,IN USE-TENANTED,C,1,6,LEASED OUT TO PRIVATE TENANT,,D,L,983345,195979,40.704594,-74.003264,POINT (-74.003264 40.704594)
4,4255,50,4042550050,4042550050,407,,119 STREET,119 STREET,,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,,,1026032,221911,40.775672,-73.849144,POINT (-73.849144 40.775672)
5,1155,80,5011550080,5011550080,501,,GRANITE AVENUE,GRANITE AVENUE,,EDC,1500,NO USE,C,3,8,PROPERTY WITH NO USE,,D,,943305,170445,40.634414,-74.147521,POINT (-74.147521 40.634414)
3,7459,356,3074590356,3074590356,315,,,,,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,,,996896,152898,40.586337,-73.95447,POINT (-73.95447 40.586337)
3,7903,62,3079030062,3079030062,318,,,,,DCAS,1500,NO USE,C,3,8,PROPERTY WITH NO USE,,,,1006900,164602,40.618442,-73.918414,POINT (-73.918414 40.618442)
4,5105,2,4051050002,4051050002,407,,,,PUMPIMG STATION,DEP,1110,POLLUTION CONTROL FACILITY,C,1,7,"MAINTENANCE, STORAGE, & INFRASTRUCTURE USE",,,,1030812,213244,40.75186,-73.831946,POINT (-73.831946 40.75186)
4,14243,1120,4142431120,4142431120,410,,,,PEDESTRIAN WAY,DCAS,1500,NO USE,C,3,8,PROPERTY WITH NO USE,,,,1031457,177417,40.65352,-73.829869,POINT (-73.829869 40.65352)
4,15876,10,4158760010,4158760010,414,,,,,HPD,471,NATURAL AREA/WETLAND/WILDLIFE REFUGE,C,1,3,CULTURAL & RECREATIONAL USE,,,,1046701,155070,40.592088,-73.775137,POINT (-73.775137 40.592088)
3,8591,175,3085910175,3085910175,318,,,,,DSBS,1500,NO USE,C,3,8,PROPERTY WITH NO USE,,D,,1008174,158856,40.602667,-73.913845,POINT (-73.913845 40.602667)
4,3916,26,4039160026,4039160026,407,00000,,,,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,,,,1026563,228627,40.794103,-73.847184,POINT (-73.847184 40.794103)
1,2004,1,1020040001,1020040001,109,,,,W. 125TH STREET ESPLANADE,PARKS,440,PARK,C,1,3,CULTURAL & RECREATIONAL USE,,,,994686,237495,40.818539,-73.962296,POINT (-73.962296 40.818539)
3,2472,6,3024720006,3024720006,301,,,,,PARKS,440,PARK,C,1,3,CULTURAL & RECREATIONAL USE,,,,994791,206940,40.734673,-73.961965,POINT (-73.961965 40.734673)
4,15649,300,4156490300,4156490300,414,,,,ROCKAWAY BEACH AND BOARDWALK,PARKS,462,BEACH,C,1,3,CULTURAL & RECREATIONAL USE,,,,1054520,155457,40.593091,-73.74698,POINT (-73.74698 40.593091)
1,401,31,1004010031,1004010031,103,542,EAST    6 STREET,542 EAST    6 STREET,6TH STREET AND AVENUE B COMMUNITY GARDEN,PARKS,472,COMMUNITY GARDEN,C,1,3,CULTURAL & RECREATIONAL USE,,,,989197,203214,40.724451,-73.982152,POINT (-73.982152 40.724451)
1,2170,175,1021700175,1021700175,112,171,HILLSIDE AVENUE,171 HILLSIDE AVENUE,FDATIONS ROADBEDS AND STRUCTURES,NYCTA,860,TRANSIT FACILITY,C,1,7,"MAINTENANCE, STORAGE, & INFRASTRUCTURE USE",,,,1004912,252922,40.860863,-73.925303,POINT (-73.925303 40.860863)
1,379,7,1003790007,1003790007,103,156,AVENUE C,156 AVENUE C,9TH STREET COMMUNITY GARDEN,PARKS,472,COMMUNITY GARDEN,C,1,3,CULTURAL & RECREATIONAL USE,,,,990512,203637,40.725611,-73.977408,POINT (-73.977408 40.725611)
3,713,20,3007130020,3007130020,307,4004,4 AVENUE,4004 4 AVENUE,JHS 136,EDUC,212,INTERMEDIATE SCHOOL,C,1,2,EDUCATIONAL USE,,,,982135,176881,40.652174,-74.007622,POINT (-74.007622 40.652174)
3,3370,23,3033700023,3033700023,304,1258,MADISON STREET,1258 MADISON STREET,MADISON SQUARE GARDEN ASSOC,PARKS,472,COMMUNITY GARDEN,C,1,3,CULTURAL & RECREATIONAL USE,,,,1008365,192403,40.694746,-73.913037,POINT (-73.913037 40.694746)
5,6507,63,5065070063,5065070063,503,,BERTRAM AVENUE,BERTRAM AVENUE,BLUE HERON PARK PRESERVE,PARKS,471,NATURAL AREA/WETLAND/WILDLIFE REFUGE,C,1,3,CULTURAL & RECREATIONAL USE,,,,934217,133064,40.531765,-74.179988,POINT (-74.179988 40.531765)
3,3857,27,3038570027,3038570027,316,95,NEW LOTS AVENUE,95 NEW LOTS AVENUE,FUTURE COMMUNITY GARDEN,PARKS,472,COMMUNITY GARDEN,C,1,3,CULTURAL & RECREATIONAL USE,,,,1011512,179093,40.658204,-73.901742,POINT (-73.901742 40.658204)
5,6505,62,5065050062,5065050062,503,,EADIE AVENUE,EADIE AVENUE,BLUE HERON PARK PRESERVE,PARKS,471,NATURAL AREA/WETLAND/WILDLIFE REFUGE,C,1,3,CULTURAL & RECREATIONAL USE,,,,934377,132200,40.529394,-74.179406,POINT (-74.179406 40.529394)
4,12732,9,4127320009,4127320009,412,19722,122 AVENUE,19722 122 AVENUE,FHA 4,NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,O,2,9,PROPERTY WITH RESIDENTIAL USE,,,,1053316,189691,40.687066,-73.750965,POINT (-73.750965 40.687066)
4,3605,1,4036050001,4036050001,405,66-26,METROPOLITAN AVENUE,66-26 METROPOLITAN AVENUE,QUEENS STOREHOUSE,ELECT,932,INDOOR STORAGE - EQUIPMENT,P,1,7,"MAINTENANCE, STORAGE, & INFRASTRUCTURE USE",L,,,1014308,198294,40.710897,-73.89158,POINT (-73.89158 40.710897)
